"","Date","YOLO","Height.Sac","Topped.days"
"1",1996-10-01,246,16.474,0
"2",1996-10-02,229,16.425,0
"3",1996-10-03,232,16.408,0
"4",1996-10-04,235,16.274,0
"5",1996-10-05,228,16.317,0
"6",1996-10-06,225,16.01,0
"7",1996-10-07,246,15.753,0
"8",1996-10-08,244,15.72,0
"9",1996-10-09,233,15.594,0
"10",1996-10-10,234,15.5,0
"11",1996-10-11,242,15.356,0
"12",1996-10-12,215,15.104,0
"13",1996-10-13,200,14.877,0
"14",1996-10-14,204,14.624,0
"15",1996-10-15,223,14.371,0
"16",1996-10-16,227,14.23,0
"17",1996-10-17,205,14.084,0
"18",1996-10-18,188,13.999,0
"19",1996-10-19,182,14.074,0
"20",1996-10-20,176,14.107,0
"21",1996-10-21,182,14.176,0
"22",1996-10-22,192,14.27,0
"23",1996-10-23,184,14.336,0
"24",1996-10-24,184,14.468,0
"25",1996-10-25,167,14.617,0
"26",1996-10-26,149,14.506,0
"27",1996-10-27,148,14.443,0
"28",1996-10-28,136,14.377,0
"29",1996-10-29,98,14.526,0
"30",1996-10-30,50,14.93,0
"31",1996-10-31,25,15.603,0
"32",1996-11-01,50,15.758,0
"33",1996-11-02,80,15.574,0
"34",1996-11-03,60,15.524,0
"35",1996-11-04,60,15.395,0
"36",1996-11-05,60,15.309,0
"37",1996-11-06,60,15.157,0
"38",1996-11-07,60,15.113,0
"39",1996-11-08,60,15.139,0
"40",1996-11-09,60,15.116,0
"41",1996-11-10,78,15.028,0
"42",1996-11-11,85,15.11,0
"43",1996-11-12,81,15.18,0
"44",1996-11-13,75,15.179,0
"45",1996-11-14,75,15.024,0
"46",1996-11-15,75,14.951,0
"47",1996-11-16,75,15.026,0
"48",1996-11-17,75,15.199,0
"49",1996-11-18,47,15.469,0
"50",1996-11-19,0,15.902,0
"51",1996-11-20,48,16.327,0
"52",1996-11-21,115,17.129,0
"53",1996-11-22,29,18.011,0
"54",1996-11-23,82,17.909,0
"55",1996-11-24,65,19.13,0
"56",1996-11-25,43,18.796,0
"57",1996-11-26,0,17.749,0
"58",1996-11-27,88,17.034,0
"59",1996-11-28,79,16.63,0
"60",1996-11-29,70,16.455,0
"61",1996-11-30,63,16.361,0
"62",1996-12-01,38,16.219,0
"63",1996-12-02,0,16.116,0
"64",1996-12-03,52,15.962,0
"65",1996-12-04,88,16.013,0
"66",1996-12-05,46,16.301,0
"67",1996-12-06,57,19.119,0
"68",1996-12-07,65,22.468,0
"69",1996-12-08,65,22.412,0
"70",1996-12-09,65,22.525,0
"71",1996-12-10,38,25.587,0
"72",1996-12-11,26,29.568,0
"73",1996-12-12,1605,31.939,0
"74",1996-12-13,3525,34.585,1
"75",1996-12-14,25365,35.271,2
"76",1996-12-15,30565,35.223,3
"77",1996-12-16,26265,35.044,4
"78",1996-12-17,20165,34.736,5
"79",1996-12-18,10865,34.298,6
"80",1996-12-19,5205,33.898,7
"81",1996-12-20,2535,33.258,0
"82",1996-12-21,1455,32.461,0
"83",1996-12-22,1334,32.4,0
"84",1996-12-23,1160,32.888,0
"85",1996-12-24,50,32.73,0
"86",1996-12-25,50,31.837,0
"87",1996-12-26,50,30.446,0
"88",1996-12-27,98,30.519,0
"89",1996-12-28,2269,33.931,1
"90",1996-12-29,24658,35.443,2
"91",1996-12-30,52097,36.081,3
"92",1996-12-31,90600,36.921,4
"93",1997-01-01,167813,38.435,5
"94",1997-01-02,358527,41.491,6
"95",1997-01-03,395140,41.594,7
"96",1997-01-04,388647,41.672,8
"97",1997-01-05,308350,39.982,9
"98",1997-01-06,229550,38.735,10
"99",1997-01-07,200852,38.42,11
"100",1997-01-08,182555,38.084,12
"101",1997-01-09,153255,37.518,13
"102",1997-01-10,124952,37.014,14
"103",1997-01-11,102050,36.606,15
"104",1997-01-12,79250,36.202,16
"105",1997-01-13,61390,35.852,17
"106",1997-01-14,49701,35.592,18
"107",1997-01-15,44057,35.444,19
"108",1997-01-16,39504,35.326,20
"109",1997-01-17,35451,35.211,21
"110",1997-01-18,31412,35.088,22
"111",1997-01-19,28284,34.961,23
"112",1997-01-20,24770,34.813,24
"113",1997-01-21,21658,34.695,25
"114",1997-01-22,21692,34.735,26
"115",1997-01-23,58449,35.714,27
"116",1997-01-24,71836,36.088,28
"117",1997-01-25,86012,36.233,29
"118",1997-01-26,115723,36.63,30
"119",1997-01-27,119925,36.884,31
"120",1997-01-28,115630,36.86,32
"121",1997-01-29,116190,36.836,33
"122",1997-01-30,109626,36.677,34
"123",1997-01-31,99916,36.447,35
"124",1997-02-01,88371,36.251,36
"125",1997-02-02,77216,36.069,37
"126",1997-02-03,67082,35.883,38
"127",1997-02-04,57162,35.668,39
"128",1997-02-05,48441,35.428,40
"129",1997-02-06,40914,35.208,41
"130",1997-02-07,35690,35.059,42
"131",1997-02-08,30952,34.91,43
"132",1997-02-09,26813,34.768,44
"133",1997-02-10,23075,34.61,45
"134",1997-02-11,18836,34.407,46
"135",1997-02-12,13093,34.153,47
"136",1997-02-13,7485,33.77,48
"137",1997-02-14,5440,32.882,49
"138",1997-02-15,4890,31.516,50
"139",1997-02-16,4540,29.892,51
"140",1997-02-17,4350,28.052,52
"141",1997-02-18,4190,26.675,53
"142",1997-02-19,3993,25.916,0
"143",1997-02-20,3798,25.181,0
"144",1997-02-21,3396,24.683,0
"145",1997-02-22,2820,24.586,0
"146",1997-02-23,2380,24.308,0
"147",1997-02-24,1956,23.887,0
"148",1997-02-25,1732,23.669,0
"149",1997-02-26,1450,23.577,0
"150",1997-02-27,1345,23.346,0
"151",1997-02-28,1220,23.218,0
"152",1997-03-01,1130,23.367,0
"153",1997-03-02,1660,23.216,0
"154",1997-03-03,2050,23.11,0
"155",1997-03-04,1740,22.919,0
"156",1997-03-05,1280,22.297,0
"157",1997-03-06,75,21.359,0
"158",1997-03-07,80,20.453,0
"159",1997-03-08,93,19.733,0
"160",1997-03-09,100,19.354,0
"161",1997-03-10,100,19.134,0
"162",1997-03-11,100,18.84,0
"163",1997-03-12,110,18.594,0
"164",1997-03-13,126,18.446,0
"165",1997-03-14,151,18.216,0
"166",1997-03-15,167,17.912,0
"167",1997-03-16,205,17.798,0
"168",1997-03-17,224,18.181,0
"169",1997-03-18,220,19.477,0
"170",1997-03-19,213,21.238,0
"171",1997-03-20,205,20.477,0
"172",1997-03-21,230,19.549,0
"173",1997-03-22,247,19.205,0
"174",1997-03-23,246,19.053,0
"175",1997-03-24,259,18.915,0
"176",1997-03-25,283,18.693,0
"177",1997-03-26,320,18.524,0
"178",1997-03-27,322,18.504,0
"179",1997-03-28,311,18.271,0
"180",1997-03-29,301,17.94,0
"181",1997-03-30,295,17.639,0
